Monthly Rent,Location,Bedrooms,Bathrooms,Receptions,Description,Nearest Station,Distance (miles),Long Description,Available,Link
1450.0,"Holloway Road, Holloway, London N7",2.0,1.0,1.0,2 bed flat ,Holloway Road,0.1 ,"Two bedroom flat just moments from holloway station. Benefitting from open plan kitchen, two double bedrooms and shower room. Furnished.",Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/48768199
2383.0,"122-126 Chancery Lane, London WC2A",,1.0,1.0,Studio ,Temple,0.2 ,Celestial Globe is delighted to offer this stunning One Bedroom Apartment located within 122-126 Chancery Lane.,Available from 10th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146953
1400.0,"Shand Street, London Bridge SE1",1.0,,,1 bed property ,London Bridge,0.2 ,Available now! Just a four minute walk from London Bridge Station. Oakwood is approx. 400 sq.ft and is located in the heart of London Bridge. Oakwood Apartments is designed with a high specification finish and has an ample amount of storage space.,,https://www.zoopla.co.uk/to-rent/details/56146920
4767.0,"Wellington Street, Covent Garden, London WC2E",3.0,2.0,1.0,3 bed flat ,Covent Garden,0.1 ,"A superb and rarely available three bedroom townhouse situated in the fashionable Opera Quarter area of Covent Garden. The house is 1514 sq ft, arranged over three floors and has its own private entrance. It is light and bright and has excellent ...",Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/48609090
1408.0,"Hazel Way, London SE1",1.0,1.0,1.0,1 bed flat ,Bermondsey,0.6 ,"A newly refurbished high specification one double bedroom ground floor apartment very well located for Bermondsey Street and London Bridge. The property has been very well finished and comprises of separate modern equipped kitchen, tiled shower room, ...",Available from 31st Oct 2020,https://www.zoopla.co.uk/to-rent/details/52710715
2578.0,"Curtain Road, Shoreditch EC2A",3.0,2.0,1.0,3 bed flat ,Shoreditch High Street,0.2 ,"A bright and spacious 3 bedroom, 2 bathroom (1 en-suite) apartment, this popular modern development is in the heart of Shoreditch. Benefits include an open plan reception room with modern integrated kitchen, large private balcony, wood flooring, and ...",,https://www.zoopla.co.uk/to-rent/details/55197740
1863.0,"St George Wharf, Vauxhall, London SW8",1.0,1.0,,1 bed flat ,Vauxhall,0.1 ,"Available immediately Elite Land are proud to present this wonderful one bedroom apartment situated in a prestigious riverside development boasting modern furnishings, oak wood floors, private balcony and 24 hr concierge.",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146875
1993.0,"Walton Heights, Elephant Park, Elephant & Castle SE17, London,",1.0,1.0,,1 bed flat ,Elephant & Castle,0.2 ,"Luxury 1 bed flat in the new Walton Heights building, Elephant park. Spacious living area with full height glass sliding doors leading to a large balcony with great views, fully fitted kitchen",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146874
2383.0,"Tower Bridge Road, London SE1",2.0,2.0,1.0,2 bed flat ,London Bridge,0.5 ,"A beautiful 850 sq ft warehouse conversion located on Tower Bridge Road which is equi-distance to both Maltby Street market and Bermondsey Streets bars, restaurants and boutiques. The apartment benefits from copious amounts of exposed brickwork and ...",Available from 28th Oct 2020,https://www.zoopla.co.uk/to-rent/details/46484376
2253.0,"Vista, Queenstown Road, Battersea, London SW11",1.0,1.0,,1 bed flat ,Battersea Park,0.1 ,"A stunning one-bedroom apartment with a private balcony overlooking Battersea Park, set within a desirable new-build development offering concierge, gym and a hydrotherapy pool.",Available from 12th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146863
2383.0,"The Makers, Nile Street, London N1",1.0,1.0,,1 bed flat ,Old Street,0.2 ,"Fully furnished, incredibly spacious Luxury 18th floor one bed apartment within the highly sought-after The Makers, Shoreditch N1. Amazing views, 5 minute walk from Old Street Station, concierge, gym, cinema",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146835
2773.0,"Rutland Gate, Knightsbridge, London SW7",1.0,1.0,1.0,1 bed flat ,Knightsbridge,0.4 ,A beautifully recently refurbished one double bedroom apartment on the raised ground floor of this beautiful period building.,,https://www.zoopla.co.uk/to-rent/details/55228640
2600.0,"Belvoir House, 181 Vauxhall Bridge Road, Westminster, London SW1V",2.0,2.0,1.0,2 bed flat ,London Victoria,0.3 ,The apartment benefits from a dual aspect reception room allowing lots of natural light 2 balconies and a garaged parking space. Belvoir House has a concierge and residents' gym.,,https://www.zoopla.co.uk/to-rent/details/56146802
2773.0,"Rutland Gate, Knightsbridge, London SW7",1.0,1.0,1.0,1 bed flat ,Knightsbridge,0.4 ,A beautifully recently refurbished one double bedroom apartment on the raised ground floor of this beautiful period building.,,https://www.zoopla.co.uk/to-rent/details/55228640
2600.0,"Belvoir House, 181 Vauxhall Bridge Road, Westminster, London SW1V",2.0,2.0,1.0,2 bed flat ,London Victoria,0.3 ,The apartment benefits from a dual aspect reception room allowing lots of natural light 2 balconies and a garaged parking space. Belvoir House has a concierge and residents' gym.,,https://www.zoopla.co.uk/to-rent/details/56146802
1700.0,"Assembly Passage, Stepney E1",2.0,2.0,1.0,2 bed flat ,Stepney Green,0.2 ,Masterclass Properties is pleased to present to the market this stunning 2-bedroom flat which is located in an outstanding location.,Available from 14th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146829
2513.0,"Hurlock Heights, 1 St Gabriel Walk, Elephant And Castle, London SE17",1.0,1.0,,1 bed flat ,Elephant & Castle,0.4 ,"Luxury 1 bed flat in the new Hurlock Heights building, Elephant park. Spacious living area with full height glass sliding doors leading to a large balcony with great views, fully fitted kitchen.",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146796
4312.0,"12 Babmaes Street, St James's, London SW1Y",1.0,1.0,1.0,1 bed flat ,Piccadilly Circus,0.1 ,Short let - A selection of one bedroom apartments,,https://www.zoopla.co.uk/to-rent/details/56146788
5000.0,"Kings Cross Road, Bloomsbury, London WC1H",4.0,2.0,1.0,4 bed detached house ,London St Pancras International,0.2 ,"Four bedroom completely refurbished house conversion in the heart of kings cross. Benefitting from two kitchen / communal spaces, four double bedrooms, two bathrooms, terrace and balcony. Furnished or Unfurnished.",Available from 12th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146767
1343.0,"Gladstone Street, Waterloo/Elephant And Castle SE1",1.0,1.0,1.0,1 bed flat ,Elephant & Castle,0.2 ,"Situated on Gladstone Street Close to shops, station and restaurants, First Floor Flat, 1 Bedroom, large Reception room with Fitted kitchen, bathroom/.wc, Gas CH, Wood Floors, washing machine",Available from 10th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146772
3033.0,"Legacy Building, Embassy Gardens, Nine Elms, London SW11",2.0,2.0,,2 bed flat ,Vauxhall,0.4 ,"Stunning two bedroom, two bathroom flat 6th floor of highly sought after Legacy Building, Embassy Gardens. World class facilities inc 24 hour concierge, cinema, library & lounge, business centre, swimming pool;",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146741
1842.0,"Hallam Street, Marylebone Village W1W",,1.0,1.0,Studio ,Great Portland Street,0.1 ,Fabulous studio located in Marylebone a short walk to Marylebone High Street with it`s busy restaurants and bars and fabulous high end boutiques. Great Portland Street Station is a short walk away .,Available from 22nd Sep 2020,https://www.zoopla.co.uk/to-rent/details/48514933
3683.0,"Tottenham Street, London W1T",3.0,2.0,1.0,3 bed maisonette ,Goodge Street,0.1 ,"Set in the heart of the West End close to all amenities is this stunning period conversion comprising of an elegant reception room, eat-in kitchen, 3 bedrooms (2 Doubles), 2 bathrooms and a patio and the rare advantage of osp bay.",Available from  8th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146740
1820.0,"Gloucester Street, Pimlico, London SW1V",1.0,1.0,1.0,1 bed flat ,Pimlico,0.3 ,"Elegant, furnished, one double bedroom flat in stuccoed building, in one of the Pimlico grid's prime streets.",Available from 20th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56146727
1950.0,"Lizmans House 321 Euston Road, London NW1",2.0,1.0,1.0,2 bed flat ,Warren Street,0.1 ,"Bentley & Co are delighted to market this fabulous 2 bedroom apartment to the lettings market, Property boasts being set within a new modern building. Benefiting a good size reception room, separate fitted kitchen with all mod cons, 2 good size ...",Available from 16th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146714
2600.0,"Euston Road, London NW1",2.0,1.0,1.0,2 bed flat ,London St Pancras International,0.0 ,"Set in this historic and sought after building, we are pleased to offer this modern and character filled property boasting two double bedrooms and galley kitchen. The property benefits from great transport links providing access across London, the UK ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146697
2525.0,"Union Mill Apartments, Samuel Street, London E8",3.0,2.0,1.0,3 bed flat ,Haggerston,0.3 ,"L&Q are pleased to present this modern three bedroom apartment available to rent at the City Mills development in Haggerston, E8. This particular three bedroom apartment features three double bedrooms, a main bathroom, an en-suite to the main bedroom ...",Available from 14th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146678
1907.0,"City Road, Old Street, London EC1V",1.0,1.0,1.0,1 bed flat ,Old Street,0.2 ,"Luxurious unfurnished one bedroom property in the highly desirable Eagle Point Development, City Road, EC1. Call Iconic Property Group for any further details.",Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/56146683
1148.0,"Old Brompton Road, South Kensington, London SW7",,1.0,1.0,Studio ,South Kensington,0.2 ,A third floor studio room in the heart of South Kensington with its own modern shower room and shared kitchen facilities.,,https://www.zoopla.co.uk/to-rent/details/56146650
1170.0,"Old Brompton Road, South Kensington, London SW7",,1.0,1.0,Studio ,South Kensington,0.2 ,A smart studio room on the first floor of a totally refurbished conversion in the heart of South Kensington.,,https://www.zoopla.co.uk/to-rent/details/56146655
1550.0,"Crosby Row, London SE1",1.0,1.0,1.0,1 bed flat ,Borough,0.2 ,Third floor purpose built apartment with an incredible location within easy walk of London Bridge and Borough Tube & Market. This flat has amazing views of The Shard.,Available from 26th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56146652
2708.0,"Angel, Old Street, Clerkenwell, London EC1V",2.0,2.0,1.0,2 bed flat ,Old Street,0.3 ,Spacious & Bright 2 Double Bedroom (2 Bathroom) Warehouse Conversion With Concierge & On Site Gymnasium Location Close To Old Street And Angel Stations. Available To View Immediately.,Available from 15th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146558
3618.0,"Angel, Old Street, Clerkenwell, London EC1V",3.0,2.0,1.0,3 bed flat ,Old Street,0.3 ,Spacious Modern 3 Double Bedroom Apartment Situated In a Modern Development With On-site Gymnasium and Concierge Service. Available To View Immediately.,Available from 18th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146619
1993.0,"Sloane Avenue, London SW3",1.0,1.0,1.0,1 bed flat ,Sloane Square,0.3 ,"Long let. A beautifully refurbished one bedroom flat located on the 3rd floor of this well run portered block. The flat benefits from a modern open plan reception room and kitchen, bathroom and double bedroom with plenty of built in Wardrobes. Sloane ...",,https://www.zoopla.co.uk/to-rent/details/56146635
3142.0,"Angel, Old Street, Clerkenwell, London EC1V",2.0,2.0,1.0,2 bed flat ,Old Street,0.3 ,"Modern 2 Double Bedroom Penthouse Apartment With Private Terrace, Concierge Service And Residential Gymnasium Located Close To Old Street and Angel Stations. Available To View Immediately.",Available from 15th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146636
2817.0,"71 Alie Street, Aldgate E1",2.0,2.0,1.0,2 bed flat ,Aldgate East,0.1 ,"A luxury two bedroom apartment two bathroom apartment spanning over 840 sqft in the middle of the historic City of London, situated on the 19th floor of the impressive Altitude Point. Accommodation comprises entrance hall, large reception room with ...",Available from 18th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146625
1885.0,"Angel, Old Street, Clerkenwell, London EC1V",1.0,2.0,1.0,1 bed flat ,Old Street,0.3 ,Modern Spacious 1 Double Bedroom Apartment Concierge Service And Residential Gymnasium Located Close To Old Street and Angel Stations. Available To View Immediately.,Available from 15th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146551
1668.0,"Beacon Hill, Islington N7",2.0,1.0,1.0,2 bed flat ,Caledonian Road,0.4 ,"A bright & spacious 2 double bedroom ground floor conversion with rear garden, large open plan reception room, fitted modern kitchen & modern bathroom. Offered in good decorative order with neutral decor, wood floors & high ceilings",Available from  9th Sep 2020,https://www.zoopla.co.uk/to-rent/details/45258017
1625.0,"1 Shad Thames, London SE1",1.0,1.0,1.0,1 bed flat ,Bermondsey,0.5 ,"Spacious, well presented, one bedroom apartment to let in Shad Thames, London, SE1.",Available from  6th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56146522
1668.0,"Beacon Hill, Hillmarton Conservation Area/ Caledonian Road N7",2.0,1.0,,2 bed farmhouse ,Caledonian Road,0.4 ,Beautiful flat on sort after road garden,Available from 11th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146499
2665.0,"Artillery Row, London SW1P",1.0,1.0,1.0,1 bed flat ,St. James's Park,0.2 ,"A stunning luxury flat on the fifth floor of this prestigious development in the heart of Westminster. The property comprises one double bedroom, one bathroom, reception room with dining area and a fully fitted, open plan kitchen. The flat is ...",Available from 10th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56146484
1733.0,"Bermondsey Street, London SE1",2.0,1.0,1.0,2 bed flat ,Borough,0.6 ,"A two bedroom apartment, in gated development with secure parking on Bermondsey Street. The accommodation is arranged over one floor and offers a couple or two sharers the ideal opportunity to live on this popular street",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146477
1473.0,"Russia Lane, London E2",1.0,1.0,1.0,1 bed flat ,Cambridge Heath,0.1 ,"Available from October 29th is this well presented furnished 1 bedroom flat located a short walk from Bethnal Green tube, Cambridge Heath br and the green space of Victoria Park. This spacious property consists of reception, kitchen, double (truncated)",Available from 29th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56146463
1885.0,"Old Street, Angel, London EC1V",1.0,1.0,1.0,1 bed flat ,Angel,0.4 ,Video Tour Available! Stunning Spacious 1 Double Bedroom Apartment With 24 Hour Concierge. Located Walking Distance To Angel And Old Street Stations. Available To View!,Available from 30th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146459
3575.0,"The Foundry, Dereham Place, Shoreditch EC2A",3.0,2.0,1.0,3 bed flat ,Shoreditch High Street,0.2 ,"A spacious 3 bedroom, 2 bathroom Penthouse on a quite street in Shoreditch, EC2A. This fantastic apartment is located on the second floor and features a good sized reception with open plan fully fitted kitchen, wooden flooring, good storage and a ...",,https://www.zoopla.co.uk/to-rent/details/56146455
2383.0,"Boston Place, Marylebone NW1",2.0,1.0,1.0,2 bed flat ,London Marylebone,0.1 ,"**virtual tour available**two bedroom apartment situated on a quiet street within walking distance to marylebone and baker street Tube Stations. Features include terrace, a modern open plan kitchen/reception, wooden flooring throughout, modern ...",Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/51679358
2383.0,"Boston Place, London NW1",2.0,1.0,1.0,2 bed property ,London Marylebone,0.1 ,"Conveniently situated close to both Bakers Street and Marylebone transport links is this well presented second floor apartment. The property comprises a good size reception room with wood flooring, two double bedrooms, modern kitchen and (truncated)",Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/56146412
1733.0,"Sloane Avenue, Chelsea, London SW3",1.0,1.0,1.0,1 bed flat ,Sloane Square,0.4 ,"A modern interiors with a smart open-plan kitchen, this bright one bedroom apartment is located on Sloane Avenue just moments from King's Road.",,https://www.zoopla.co.uk/to-rent/details/56146414
4333.0,"Peninsula Apartments, Praed Street, Paddington W2",3.0,2.0,1.0,3 bed flat ,Edgware Road Bakerloo,0.1 ,"A Sensational three double bedroom lateral apartment situated within this Contemporary Block Close to the West End and Hyde Park. The apartment offers comfort cooling, 24 hours Concierge, three double bedrooms, a separate kitchen and two bathrooms",Available immediately,https://www.zoopla.co.uk/to-rent/details/52244065
17117.0,"Queen's Gate Gardens, South Kensington, London SW7",2.0,2.0,1.0,2 bed flat ,Gloucester Road,0.2 ,Beautiful 2 bedroom apartment with outside space to rent South Kensington SW7,,https://www.zoopla.co.uk/to-rent/details/56146403
2383.0,"Boston Place, London NW1",2.0,1.0,1.0,2 bed flat ,London Marylebone,0.1 ,"Newly decorated 1st floor 2 bedroom flat on Boston Place in this period mews Between Ivor Place & Lisson Grove. Ideal for Marylebone & Baker Street Stations Reception with open plan kitchen, wood floors Furnished. Available 1st October Entrance Hall ...",Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/52173217
1625.0,"Dorset Street, Marylebone W1U",1.0,1.0,1.0,1 bed flat ,Baker Street,0.2 ,"Located moments from Baker Street, this lovely 1 bedroom flat offers a well proportioned living space, boasting stylish interiors and The property is moments from the shops, bars and restaurants of Baker Street. The nearest underground station is ...",,https://www.zoopla.co.uk/to-rent/details/56146376
2253.0,"Meard Street, Soho W1F",2.0,1.0,1.0,2 bed flat ,Tottenham Court Road,0.2 ,Greater London Properties are pleased to present this stunning two bedroom apartment which was recently refurbished and is ideally located on a picturesque cobbled street in the heart of Soho. This a much sought after address due to its location and ...,Available from 14th Oct 2020,https://www.zoopla.co.uk/to-rent/details/52791892
7150.0,"Plimsoll Building, Handyside Street, King's Cross, London N1C",3.0,3.0,1.0,3 bed flat ,London St Pancras (Intl),0.3 ,"3 bedroom flat to rent in King's Cross, N1C",,https://www.zoopla.co.uk/to-rent/details/56146364
1295.0,"Lansdowne Way, Stockwell SW8",1.0,1.0,1.0,1 bed flat ,Stockwell,0.2 ,An amazing opportunity to rent this well presented one double bedroom furnished/unfurnished flat in this excellent location only a few minutes walk from Stockwell station. The rent includes the heating costs.,Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/56146324
1300.0,"Wynford Road, London N1",1.0,1.0,,1 bed flat ,London Kings Cross,0.4 ,"One double bedroom flat to rent in Kings Cross, close to local amenities and facilities. The apartment is furnished and benefits from separate kitchen and living area and has an on site caretaker. The apartment is within zone 1",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146349
2600.0,"Churchill House, Westminster Square, 126 Westminster Bridge Road SE1",2.0,2.0,1.0,2 bed flat ,Lambeth North,0.1 ,"An extremely generous and bright two bedroom apartment of nearly 900 sq ft in Westminster Square, available for lease exclusively through Prime London. The property features a spacious reception, two double bedrooms with vast built-in storage, en ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/45905178
2058.0,"Nell Gwynn House, Sloane Avenue, London SW3",1.0,1.0,1.0,1 bed flat ,Sloane Square,0.4 ,"A spacious, bright one-bedroom apartment on the ground floor in Nell Gwynn House, a well-managed, portered mansion block on Sloan Avenue, Chelsea. The property is set in a popular, portered building moments (truncated)",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146334
1950.0,"Westbourne Crescent, Lancaster Gate W2",2.0,1.0,1.0,2 bed flat ,Paddington,0.1 ,"Westbourne Crescent, Lancaster Gate, W2 £450.00 Per Week Ref: 789 Property Details Happy to offer a spacious two bedroom flat in a period conversion property with a separate lounge in Westbourne Crescent, Lancaster Gate, W2. The property consists of: *",Available from 14th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146323
2383.0,"Boston Place, Marylebone NW1",2.0,1.0,1.0,2 bed flat ,London Marylebone,0.1 ,"Dendrow International are delighted to offer this lovely redecorated two bedroom apartment With private roof terrace. This property is walking distance to Marylebone station and Baker street, its very well located in a busy location giving easy access to",Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/52260205
3185.0,"Hamilton House, St George Wharf, London SW8",2.0,2.0,1.0,2 bed flat ,Vauxhall,0.1 ,"Boasting exceptional river views towards both Westminster and Chelsea Bridge, this modern interior designed apartment is available for lease exclusively through Prime London. Situated towards the top of Hamilton House in St George Wharf, the property ...",,https://www.zoopla.co.uk/to-rent/details/49411890
1300.0,"Wynford Road, London N1",1.0,1.0,,1 bed flat ,London Kings Cross,0.4 ,"One double bedroom flat to rent in Kings Cross, close to local amenities and facilities. The apartment is furnished and benefits from separate kitchen and living area and has an on site caretaker. The apartment is within zone 1",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146303
1400.0,"Hessel Street, London E1",2.0,1.0,1.0,2 bed flat ,Shadwell,0.3 ,"Sincere Property Services are pleased to offer a recently refurbished one bedroom second floor flat, located within 10-12 minutes walking distance to Shadwell, Aldgate East & Whitechapel Stations. Comprising of an open plan separate reception, good ...",,https://www.zoopla.co.uk/to-rent/details/56146297
3358.0,"Pindoria House, Mintern Street N1",3.0,1.0,1.0,3 bed flat ,Hoxton,0.4 ,"A beautifully presented three bedroom modern apartment located between Islington, Shoreditch and Hoxton. Positioned on the second floor, the property is offered with or without furniture and has the benefit of a private balcony as well as the use of ...",,https://www.zoopla.co.uk/to-rent/details/56146295
1920.0,"Basement, London NW1",1.0,1.0,,1 bed flat ,Camden Road,0.4 ,"A welcoming one double bedroom flat located on this quiet treelined street in residential Camden Square conservation area.Filled with natural light, the property offers a large double bedroom, Liv... ** Property Reference: 890864 **",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146230
2708.0,"Cochrance Mews, St Johns Wood NW8",2.0,2.0,1.0,2 bed terraced house ,St. John's Wood,0.1 ,A rare opportunity to rent a two double bedroom house located within central location adjacent to St Johns Wood High Street.,Available immediately,https://www.zoopla.co.uk/to-rent/details/56146213
2167.0,"York Street, Marylebone W1U",1.0,1.0,1.0,1 bed flat ,Baker Street,0.1 ,Hemmingfords are pleased to offer this wonderful recently refurbished apartment located on the second floor (with lift access) of a period conversion in Marylebone. This modern spec apartment comprises of an open plan kitchen and double aspect living ...,,https://www.zoopla.co.uk/to-rent/details/56146210
1795.0,"Gloucester Place, Marylebone, London NW1",1.0,1.0,1.0,1 bed flat ,London Marylebone,0.2 ,"A magnificent one bedroom apartment in a wonderful location, situated in Marylebone NW1, offering amazing comfortable living and convenience with simplicity. The apartment is presented in outstanding condition and fitted with all the basic facilities.",Available from 18th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146200
3445.0,"Jermyn Street, London SW1Y",2.0,2.0,1.0,2 bed flat ,Green Park,0.2 ,"This recently decorated two double bedroom, two bathroom apartment is located in this highly desirable building overlooking Piccadilly Arcade with designated parking space, 24 hour porter and lift. Opposite the Piccadilly Arcade on Jermyn Street near ...",,https://www.zoopla.co.uk/to-rent/details/56146149
850.0,"Nashe House, Burbage Close, London SE1",3.0,1.0,,3 bed shared accommodation ,Borough,0.4 ,The flat is currently under renovation. It will be newly painted and decorated throughout. There are 3 double rooms. Only one room is available for a couple. There max amount of tenants will be 3-4 people. Pets are not allowed,,https://www.zoopla.co.uk/to-rent/details/56146099
9750.0,"Cadogan Square, Knightsbridge, London SW1X",2.0,2.0,1.0,2 bed flat ,Sloane Square,0.3 ,Beautifully presented two en-suite double bedroom apartment of just over 1500 sq ft situated on the third floor of this residential period building (without lift). EPC rating: E,Available immediately,https://www.zoopla.co.uk/to-rent/details/56146087
2490.0,"St John Street, Clerkenwell EC1M",1.0,1.0,,1 bed flat ,Farringdon,0.1 ,"Feel at home wherever you choose to live with Blueground. You’ll love this lovely Clerkenwell furnished one-bedroom apartment with its modern decor, fully equipped kitchen, and cheery living room.",Available from  2nd Dec 2020,https://www.zoopla.co.uk/to-rent/details/56146069
880.0,"King's Cross Road, King's Cross, London WC1X",2.0,1.0,1.0,2 bed shared accommodation ,London Kings Cross,0.2 ,All Bills included + Free wifi + TV licence Ensuite double bedroom in a 2 bed flat in Zone 1 King's Cross. Fully furnished and bills included. Great location. Alll bills inlcuded. Early viewings advised! ** Property Reference: 5720120 **,Available from 20th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56146060
1450.0,"One Prescot Street, Tower Hill, London E1",1.0,1.0,1.0,1 bed flat ,Tower Gateway,0.2 ,Fantastic one bed apartment with hard wood floors in private development close to city with 24 hour concierge. The apartment has a separate dining area and dressing room and features large windows and a modern kitchen. Unique and stylish!,Available from  5th Nov 2020,https://www.zoopla.co.uk/to-rent/details/50957221
2490.0,"Pepys Street, City Of London EC3N",1.0,1.0,,1 bed flat ,London Fenchurch Street,0.1 ,"Discover the best of London, with this one-bedroom City of London apartment with views over the city. It’ll be easy to simply show up and start living in this airy Blueground furnished apartment with its fully-equipped kitchen.",Available immediately,https://www.zoopla.co.uk/to-rent/details/56146012
2390.0,"Sutherland Street, Pimlico SW1V",1.0,1.0,,1 bed flat ,Sloane Square,0.6 ,"Discover the best of London, with this one-bedroom Pimlico apartment with balcony views over the city.",Available from  2nd Dec 2020,https://www.zoopla.co.uk/to-rent/details/56145985
